job,sex,year,count,perc
Artist / Art Teacher,women,1930,20220,0.00041493796369600005
Artist / Art Teacher,women,1940,19699,0.000378599202937
Artist / Art Teacher,women,1950,30171,0.000496716241541
Artist / Art Teacher,women,1960,59496,0.000684589906068
Artist / Art Teacher,women,1970,51690,0.00047308387941
Artist / Art Teacher,women,1980,91749,0.0007139842312270001
Artist / Art Teacher,women,1990,136297,0.000913974032413
Artist / Art Teacher,women,2000,144382,0.00085879121618
Athlete,men,1850,204,3.7734439075000006e-05
Athlete,men,1860,100,1.1856160116e-05
Athlete,men,1870,201,1.5309574447e-05
Athlete,men,1880,498,2.7202288837e-05
Athlete,men,1900,3417,0.00011509014333500001
Athlete,men,1910,0,0.0
Athlete,men,1920,3735,8.895300597200001e-05
Athlete,men,1930,7579,0.000155529912307
Athlete,men,1940,10153,0.000195132631474
Athlete,men,1950,8927,0.000146968475961
Athlete,men,1960,4387,5.0478955188000005e-05
Athlete,men,1970,0,0.0
Athlete,men,1980,0,0.0
Athlete,men,1990,0,0.0
Athlete,men,2000,0,0.0
Athlete,women,1850,0,0.0
Athlete,women,1860,0,0.0
Athlete,women,1870,0,0.0
Athlete,women,1880,200,1.0924613991000001e-05
Athlete,women,1900,0,0.0
Athlete,women,1910,0,0.0
Athlete,women,1920,0,0.0
Athlete,women,1930,0,0.0
Athlete,women,1940,748,1.4375968516000001e-05
Athlete,women,1950,155,2.551821863e-06
Athlete,women,1960,796,9.159163056e-06
Athlete,women,1970,0,0.0
Athlete,women,1980,0,0.0
Athlete,women,1990,0,0.0
Athlete,women,2000,0,0.0
Auctioneer,men,1850,809,0.000149642947118
Auctioneer,men,1860,1908,0.00022621553503100002
Auctioneer,men,1870,2108,0.00016056011411
Auctioneer,men,1880,2594,0.00014169224346300002
Auctioneer,men,1900,2818,9.4914844577e-05
Auctioneer,men,1910,2519,6.4707707399e-05
Auctioneer,men,1920,5652,0.000134608404218
Auctioneer,men,1930,5053,0.00010369344859300001
Auctioneer,men,1940,5580,0.000107243187592
Auctioneer,men,1950,13509,0.00022240362291500002
Auctioneer,men,1960,4385,5.0455942216e-05
Auctioneer,men,1970,5415,4.9559860843e-05
Auctioneer,men,1980,6427,5.0014459602000005e-05
Auctioneer,men,1990,8339,5.5919275232000003e-05
Auctioneer,men,2000,0,0.0
Auctioneer,women,1850,0,0.0
Auctioneer,women,1860,0,0.0
Auctioneer,women,1870,0,0.0
Auctioneer,women,1880,0,0.0
Auctioneer,women,1900,0,0.0
Auctioneer,women,1910,0,0.0
Auctioneer,women,1920,0,0.0
Auctioneer,women,1930,0,0.0
Auctioneer,women,1940,2744,5.2737510171e-05
Auctioneer,women,1950,2970,4.889619957400001e-05
Auctioneer,women,1960,99,1.139142138e-06
Auctioneer,women,1970,800,7.3218630970000004e-06
Auctioneer,women,1980,1282,9.97643336e-06
Auctioneer,women,1990,1577,1.0574972663000001e-05
Auctioneer,women,2000,0,0.0
Author,men,1850,101,1.8682246797e-05
Author,men,1860,301,3.5687041952000005e-05
